1,19000000,46998772,Warner Bros.
2,4500000,58853106,Columbia Pictures
3,18000000,538375067,Lucasfilm
4,3500000,83453539,Paramount Pictures
5,6000000,39846344,Orion Pictures
6,550000,39754601,Paramount Pictures
7,27000000,115229890,Universal Pictures
8,18000000,23402427,Chartoff-Winkler Productions
9,54000000,108185706,Dovemead Films
10,10000000,15795189,United Artists
11,15000000,70687344,The Malpaso Company
12,5000000,30031783,C.A.T. Films
13,20000000,49823037,Paramount Pictures
14,6000000,54766923,Paramount Pictures
15,6500000,31899000,Filmways Pictures
16,5100000,9709597,Rastar Pictures
17,,21202829,Metro-Goldwyn-Mayer (MGM)
18,10000000,103300686,IPC Films
19,1000000,21448782,AVCO Embassy Pictures
20,,101300000,Columbia Pictures
21,11000000,19814523,Lorimar Film Entertainment
22,44000000,3484523,Partisan Productions
23,12000000,16647800,Bryna Productions
24,20000000,22762571,Universal Pictures
25,,46918287,Paramount Pictures
26,,19853892,Warner Bros.
27,,34326249,Stephen Friedman/Kings Road Productions
28,36000000,,ITC Films
29,9000000,37121708,Twentieth Century Fox
30,4800000,22743674,Paramount Pictures
31,,22482952,Twentieth Century Fox
32,,14796236,Guardian Trust Company
33,,66132626,Universal Pictures
34,5100000,534816,Cattle Annie Productions
35,,43995918,Rastar Films
36,10000000,69847348,Warner Bros.
37,4000000,10000000,PolyGram Filmed Entertainment
38,3000000,6342668,Camp Hill
39,,27118000,EMI Films
40,,67182787,Universal Pictures
41,,5000000,Walt Disney Productions
42,,,The South Australian Film Corporation
43,3500000,7063886,Melvin Simon Productions
44,,6659377,Universal Pictures
45,,8415112,EMI Films
46,,41675194,Universal Pictures
47,22000000,15716828,Universal Pictures
48,300000,,The Jerry Gross Organization
49,15000000,14662035,Universal Pictures
50,35000000,,Falcon International Productions
51,10000000,10389003,Jack Rollins & Charles H. Joffe Productions
52,7000000,4309490,Universal Pictures
53,20000000,,EMI Films
54,6500000,24265659,Warner Bros.
55,,12516,Opera Film Produzione
56,,,Tri Star Productions
57,20000000,3763988,International Cinema
58,6000000,6216067,Mulberry Square Productions
59,4000000,18971000,American Cinema Productions
60,11000000,,Sunn Classic Pictures
61,,18000000,Walt Disney Productions
62,,14287755,Rastar Films
63,,,Rastar Films
64,,17815212,Major Studio Partners
65,,3910019,Universal Pictures
66,,7653061,Brooksfilms
67,900000,,Mosfilm
68,,10697276,Braun Entertainment Group
69,,9870727,Paramount Pictures
70,,15934737,Kings Road Entertainment
71,,14155617,Columbia Pictures
72,,2013193,Lee Mendelson Film Productions
73,,5215015,Universal Pictures
74,,4226370,Alive Enterprises
75,,2086905,Warner Bros.
76,6000000,11000000,Walt Disney Productions
77,,6321392,Universal Pictures
78,5500000,4400000,Twentieth Century Fox
79,,109749,Diversity Music
80,3000000,,Santa Fe International
81,5100000,59167,Borough Park Productions
82,,2128395,Mike Lobell Productions
83,,2806659,Time Life Films
84,,167451,Les Films Paul Grimault
85,,14504277,Warner Bros.
86,,804713,Herb Jaffe
87,,6950125,Da.Ma. Cinematografica
88,,6621520,Chuck Barris Productions
89,,2261507,Broadway Productions
90,,1175855,Metro-Goldwyn-Mayer (MGM)
91,,15198912,F.F. Associates
92,,,East Asia Film Company
93,18000000,389925971,Paramount Pictures
94,,24058838,The Ladd Company
95,10000000,30669378,Polygram Pictures
96,6000000,25244626,AVCO Embassy Pictures
97,350000,2956630,Renaissance Pictures
98,2500000,111289673,Astral Bellevue Pathé
99,18000000,12000000,Filmways Pictures
100,15000000,41092328,Charles H. Schneer Productions
101,11000000,34971136,Cinema '84
102,3000000,23668369,Kennedy Miller Productions
103,,11487676,Bavaria Film
104,10000000,85297000,Columbia Pictures
105,,1113538,Gaumont
106,18000000,72179579,Golden Harvest Company
107,5500000,11492915,Mann/Caan Productions
108,,32492674,PolyGram Filmed Entertainment
109,5000000,42368025,HandMade Films
110,,50427646,Universal Pictures
111,1250000,21722776,Georgetown Productions Inc.
112,,14225876,Canadian Film Development Corporation (CFDC)
113,28000000,54813222,Eon Productions
114,2500000,25533818,Dino De Laurentiis Company
115,14000000,35856053,Major Studio Partners
116,32000000,40382659,Barclays Mercantile Industrial Finance
117,,119285432,IPC Films
118,12000000,63456988,Walt Disney Animation Studios
119,5500000,59303359,Enigma Productions
120,12000000,40716963,Columbia Pictures
121,6500000,36565280,Metro-Goldwyn-Mayer (MGM)
122,10000000,10853418,Lorimar Film Entertainment
123,7000000,95461682,Orion Pictures
124,,5073,Saga Productions Inc.
125,,15965924,Estudios Churubusco Azteca S.A.
126,3000000,,Aspen Productions (I)
127,11000000,31672907,Brooksfilms
128,1000000,17985893,Embassy Pictures
129,18000000,14110013,Paramount Pictures
130,3000000,1752634,Gurian Entertainment
131,12500000,20962615,International Cinema Corporation (ICC)
132,5000000,20471382,Twentieth Century Fox
133,5000000,19032261,Paramount Pictures
134,2800000,26279000,Barry & Enright Productions
135,12000000,12376625,CIP Filmproduktion GmbH
136,,14920781,Dino De Laurentiis Company
137,2500000,8279042,PolyGram Filmed Entertainment
138,8500000,6400000,Twentieth Century Fox
139,,5732587,R&R Films
140,16000000,17374595,The Ladd Company
141,,,Cinema Group Ventures
142,12000000,14867086,Artista Management
143,400000,123843,Fulvia Film
144,,23371905,Universal Pictures
145,,5672031,Canadian Film Development Corporation (CFDC)
146,,7886857,Universal Pictures
147,26000000,636796,Zoetrope Studios
148,,26890068,Juniper Films
149,,31206251,Henson Associates (HA)
150,10000000,12850276,Chartoff-Winkler Productions
151,8000000,,The Ladd Company
152,5000000,19905359,Universal Pictures
153,,37000000,C & C Brown Production
154,,35610100,Deliverance Productions
155,8500000,29916207,Columbia Pictures
156,,237000,Limelight Productions (II)
157,,17583634,Kings Road Entertainment
158,17000000,10626725,Orion Pictures
159,,5165432,Allen Smithee Classic Films
160,8600000,8124257,Orion Pictures
161,,2447576,Orion Pictures
162,,15578237,Universal Pictures
163,,110014,Les Films Galaxie
164,,5229643,Morison Film Group
165,,29200000,Time Life Films
166,800000,1118634,Georgetown Productions Inc.
167,,,Melvin Simon Productions
168,20000000,18826490,Innovisions
169,6000000,9566593,DeHaven/Shapiro Productions
170,,20259961,Lija Productions
171,,14923752,Viacom Enterprises
172,,12042,Merchant Ivory Productions
173,250000,,Baughn/Freed Productions
174,8000000,26154211,Twentieth Century Fox
175,22000000,9171289,Metro-Goldwyn-Mayer (MGM)
176,1500000,,Bakshi Productions
177,18000000,12617845,Eaves Movie Ranch
178,14000000,2022771,Orion Pictures
179,,1169875,Lorimar Productions
180,3800000,,Adams Apple Film Company
181,2700000,3256082,Universal Pictures
182,,14492125,Jaquet
183,10000000,7258543,Heron Productions
184,11000000,31261269,Universal Pictures
185,,2863642,Columbia Pictures
186,12000000,2154696,Universal Pictures
187,,11809387,CBS Theatrical Films
188,3500000,17569027,Cinema Group Ventures
189,,1976198,Universal Pictures
190,13000000,8206145,Metro-Goldwyn-Mayer (MGM)
191,46000000,5200986,One Way Productions
192,14000000,4454295,Universal Pictures
193,12000000,3702028,PolyGram Pictures
194,16000000,10851261,IPC Films
195,,25524778,Columbia Pictures
196,24000000,2004742,EMI Films
197,,18838812,Paramount Pictures
198,2000000,1791147,PolyGram Pictures
199,,,Calendar International Pictures
200,,16000000,Walt Disney Productions
201,,6892098,Balkan Productions
