1,R,8.4,927000
2,R,5.8,65000
3,PG,8.7,1200000
4,PG,7.7,221000
5,R,7.3,108000
6,R,6.4,123000
7,R,7.9,188000
8,R,8.2,330000
9,PG,6.8,101000
10,R,7,10000
11,PG,6.1,18000
12,PG,7.3,54000
13,PG,5.3,30000
14,R,7.7,49000
15,R,7.1,37000
16,PG,7.2,27000
17,R,6.6,21000
18,PG,6.9,29000
19,R,6.8,66000
20,R,6.8,26000
21,R,6.5,20000
22,R,6.8,14000
23,PG,6.7,22000
24,PG,5.3,12000
25,PG,6.4,14000
26,R,6.9,33000
27,R,6.5,5100
28,PG,5,4100
29,R,7.2,17000
30,R,6.2,22000
31,PG,7.1,8900
32,R,5.4,16000
33,PG,5.3,15000
34,PG,6.1,604
35,PG,6.7,9100
36,R,6.2,24000
37,R,6.3,4300
38,R,6,11000
39,PG,5.9,4000
40,PG,7.5,17000
41,PG,6.3,5700
42,PG,7.9,13000
43,R,7.1,9000
44,R,6.6,11000
45,R,4.8,2000
46,R,6.1,12000
47,R,5.3,3900
48,R,4.6,3900
49,PG,5.1,3100
50,PG,8.3,15000
51,PG,7.3,22000
52,R,6.8,4500
53,PG,4.2,3700
54,PG,6.1,11000
55,R,7,6700
56,PG,6.7,2900
57,PG,4.6,2600
58,PG,5.4,2400
59,R,5.1,5200
60,PG,5.3,2400
61,G,5,5300
62,PG,6.7,1900
63,R,5.5,875
64,PG,6.3,1400
65,PG,7.3,2800
66,PG,6.3,2000
67,PG,8.1,12000
68,PG,5.1,2000
69,R,6.6,915
70,PG,6,1500
71,PG,4.7,1800
72,G,7.3,2900
73,PG,5.5,965
74,PG,5.2,1100
75,R,5.5,585
76,G,5.8,1300
77,PG,6.3,1400
78,R,5.9,415
79,,7.4,1300
80,PG,6.9,1000
81,R,4,546
82,R,4.8,643
83,PG,5.2,351
84,Not Rated,7.9,4800
85,PG,5.2,2100
86,R,6.5,269
87,R,5.8,1900
88,R,4.3,740
89,R,6.8,599
90,PG,6.5,211
91,R,4.3,593
92,,6.7,230
93,PG,8.4,905000
94,R,7.4,32000
95,R,7.5,97000
96,R,7.2,131000
97,NC-17,7.5,192000
98,R,6.2,40000
99,R,7.4,47000
100,PG,6.9,42000
101,R,7.4,59000
102,R,7.6,170000
103,,8.3,237000
104,R,6.9,68000
105,R,7.4,27000
106,PG,6.2,34000
107,R,7.4,27000
108,R,4.9,7600
109,PG,7,60000
110,PG,6.8,4200
111,R,6.1,61000
112,R,6.8,51000
113,PG,6.7,94000
114,R,6.5,77000
115,PG,6.8,17000
116,PG,7.3,21000
117,PG,7.6,29000
118,G,7.3,87000
119,PG,7.2,56000
120,PG,6.9,12000
121,Approved,3.4,5300
122,PG,6.7,29000
123,PG,6.9,27000
124,PG,7.8,19000
125,PG,5.8,7300
126,R,6.6,11000
127,R,6.9,47000
128,R,6.6,32000
129,PG,6.7,16000
130,R,6.9,5300
131,R,7.3,21000
132,R,5.6,19000
133,R,6.7,15000
134,R,5.2,3400
135,R,6.6,22000
136,PG,7.3,9000
137,R,5.6,5200
138,R,6,4500
139,PG,7.4,38000
140,R,6.6,28000
141,R,7.2,17000
142,R,6.4,5700
143,R,6.8,21000
144,R,6.3,7900
145,R,6.3,19000
146,R,5.9,13000
147,R,6.5,5700
148,R,7,13000
149,G,7.2,14000
150,R,6.3,7500
151,PG,6.1,4900
152,R,6.4,18000
153,R,6.2,7100
154,R,6.3,5600
155,R,5.6,7600
156,R,5.9,1300
157,R,7.1,9900
158,R,6.3,9400
159,R,5.5,4400
160,R,7.5,7600
161,R,5.5,5700
162,PG,6.2,4800
163,R,7.2,12000
164,R,5.8,2600
165,R,6.7,5800
166,R,6,2400
167,PG,6.2,4100
168,PG,5.4,2600
169,PG,5.6,2600
170,PG,5.5,4500
171,PG,6,891
172,R,6.3,1300
173,R,4.9,3600
174,PG,5.1,4900
175,R,6.5,5300
176,R,7.2,4400
177,PG,5.1,2000
178,PG,5.2,1300
179,R,5.6,2400
180,R,5.5,3600
181,R,6.8,1100
182,R,5.9,1600
183,R,6.5,4500
184,R,6.1,2900
185,R,7,3600
186,PG,4.3,1300
187,R,5.6,829
188,PG,5,761
189,R,6.8,1400
190,R,7.3,2700
191,PG,2.7,659
192,R,5.5,1700
193,PG,5.6,1100
194,R,5.4,1100
195,R,6.5,1300
196,PG,5.2,928
197,PG,4.9,920
198,PG,5.5,384
199,R,2.9,674
200,PG,5,1200
201,R,5.8,782
202,TV-PG,5.1,101
203,R,5.1,499
204,Not Rated,6.9,1100
205,PG,6.3,228
206,R,7.2,98000
207,R,8.1,710000
208,R,8.1,382000
209,R,6.9,141000
210,PG,7.8,381000
211,R,7.7,234000
212,R,7,52000
213,PG,4.4,34000
214,PG,6.6,41000
215,PG,7.3,148000
216,R,6.9,73000
217,PG,7.7,115000
218,R,4.9,2500
219,R,6.3,8100
220,R,7.6,44000
221,PG,8,220000
222,PG,7.4,100000
223,PG,6.8,115000
224,G,7.6,37000
225,PG,7.8,94000
